occ,n_aus,n_subjects,n_events,duration,session_pct,fullface_pct,proto,cluster
12,1,44,1236,861.16,0.0028496998804334547,0.0906387465590515,"cordaro2018_contentment_1
fig2002_happiness_2
keltner2019_contentment_1",B
12+25+26,3,43,553,313.321,0.00103682337340017,0.03297763796580029,,B
4,1,42,506,300.175,9.93321405556589e-4,0.03159399617767115,cordaro2018_sadness_1,A
12+25,2,42,524,285.918,9.461429820402394e-4,0.030093419502381546,du2014_happiness_1,B
1+2,2,41,427,249.188,8.245982323905565e-4,0.026227516347202526,,C
6+12,2,38,226,202.88,6.713585300552038e-4,0.021353510267430407,"fig2002_happiness_1
matsumoto2008_happiness_1
matsumoto2008_happiness_1",B
1+2+12,3,39,275,183.859,6.084153587215088e-4,0.01935151342793517,keltner2019_interest_1,C
6+12+25+26,4,36,197,153.02700000000002,5.063879228053908e-4,0.016106386118365897,,B
17,1,38,274,116.762,3.8638192372981913e-4,0.012289425107677984,,A
14,1,37,233,102.743,3.399910757761327e-4,0.010813898390213931,,NA
24,1,38,241,95.039,3.1449745336118156e-4,0.01000303757051616,,NA
1+2+5+12,4,28,118,89.251,2.953441451397722e-4,0.009393839436506464,,C
4+25,2,34,181,87.669,2.9010908404677473e-4,0.009227330893313073,,A
1+2+12+25+26,5,29,180,83.125,2.750723472537402e-4,0.008749066152307534,,C
1+2+5,3,30,117,75.813,2.5087590811846987e-4,0.007979464086675382,"fig2002_surprise_3
fig2002_fear_17",C
6+12+25,3,35,115,73.181,2.4216624895489878e-4,0.007702441023663371,du2014_happiness_2,B
1+2+25+26,4,36,168,69.523,2.3006141110522443e-4,0.0073174294870000205,du2014_surprise_1,C
23,1,26,127,60.12,1.989455580979833e-4,0.0063277456490433565,,NA
4+12,2,27,76,58.557,1.9377337068435808e-4,0.006163236892399066,,B
4+23,2,15,69,54.877,1.8159573173225264e-4,0.005775909813415706,,NA
15,1,32,100,48.851,1.6165484794818e-4,0.005141661721580456,,NA
1+2+25,3,29,107,48.464,1.6037421037359717e-4,0.005100929227133021,,C
14+17,2,29,85,46.394,1.5352428846303787e-4,0.004883057745204881,,NA
1+2+5+12+25+26,6,26,83,45.254,1.4975186770070087e-4,0.00476307055225895,cordaro2018_awe_1,C
17+24,2,30,92,42.322,1.4004946623125166e-4,0.004454471912155904,,NA
4+12+25,3,22,69,39.522,1.307838713763888e-4,0.004159766525972913,,B
4+24,2,23,71,39.485,1.3066143315866385e-4,0.0041558722047983524,,NA
18+25,2,25,108,39.447,1.3053568579991928e-4,0.004151872631700155,,A
4+25+26,3,29,75,37.071,1.2267316673736424e-4,0.0039017940611391594,,A
20+25,2,27,88,36.281,1.2005894533188509e-4,0.0038186450414661012,,A
5,1,27,88,35.713,1.1817935323275578e-4,0.003758861948840409,,A
1+2+12+25,4,27,80,35.271,1.1671671290209529e-4,0.0037123405985929514,,C
18,1,32,119,35.092,1.1612437665958797e-4,0.003693500504261967,,A
