source,emotion,emotion_type,config_num,config_type,code,special,missing_aus,remaining_aus
cordaro2018,amusement,,1,ICP,6+7+12+16+25+26+53,,53,6+7+12+16+25+26
cordaro2018,amusement,,2,ICP,6+7+12+16+25+27+53,,53,6+7+12+16+25+27
keltner2019,amusement,,1,prototype,6+7+12+25+26+53,,53,6+7+12+25+26
cordaro2018,anger,,1,ICP,4+7,,,4+7
du2014,anger,basic,1,prototype,4+7+24,,,4+7+24
du2014,anger,basic,2,variant,4+7+10+24,,,4+7+10+24
du2014,anger,basic,3,variant,4+7+17+24,,,4+7+17+24
du2014,anger,basic,4,variant,4+7+23+24,,,4+7+23+24
du2014,anger,basic,5,variant,4+7+10+17+24,,,4+7+10+17+24
du2014,anger,basic,6,variant,4+7+10+23+24,,,4+7+10+23+24
du2014,anger,basic,7,variant,4+7+17+23+24,,,4+7+17+23+24
du2014,anger,basic,8,variant,4+7+10+17+23+24,,,4+7+10+17+23+24
fig2002,anger,,1,prototype,4+5+7+10+22+23+25,,,4+5+7+10+22+23+25
fig2002,anger,,2,prototype,4+5+7+10+22+23+26,,,4+5+7+10+22+23+26
fig2002,anger,,3,prototype,4+5+7+10+22+23+25+26,,,4+5+7+10+22+23+25+26
fig2002,anger,,4,prototype,4+5+7+10+23+25,,,4+5+7+10+23+25
fig2002,anger,,5,prototype,4+5+7+10+23+26,,,4+5+7+10+23+26
fig2002,anger,,6,prototype,4+5+7+10+23+25+26,,,4+5+7+10+23+25+26
fig2002,anger,,7,prototype,4+5+7+23+25,,,4+5+7+23+25
fig2002,anger,,8,prototype,4+5+7+23+26,,,4+5+7+23+26
fig2002,anger,,9,prototype,4+5+7+23+25+26,,,4+5+7+23+25+26
fig2002,anger,,10,prototype,4+5+7+17+23,,,4+5+7+17+23
fig2002,anger,,11,prototype,4+5+7+17+24,,,4+5+7+17+24
fig2002,anger,,12,prototype,4+5+7+23,,,4+5+7+23
fig2002,anger,,13,prototype,4+5+7+24,,,4+5+7+24
fig2002,anger,,14,variant,5+7+10+22+23+25,,,5+7+10+22+23+25
fig2002,anger,,15,variant,5+7+10+22+23+26,,,5+7+10+22+23+26
fig2002,anger,,16,variant,5+7+10+22+23+25+26,,,5+7+10+22+23+25+26
fig2002,anger,,17,variant,4+7+10+22+23+25,,,4+7+10+22+23+25
fig2002,anger,,18,variant,4+7+10+22+23+26,,,4+7+10+22+23+26
fig2002,anger,,19,variant,4+7+10+22+23+25+26,,,4+7+10+22+23+25+26
fig2002,anger,,20,variant,4+5+10+22+23+25,,,4+5+10+22+23+25
fig2002,anger,,21,variant,4+5+10+22+23+26,,,4+5+10+22+23+26
fig2002,anger,,22,variant,4+5+10+22+23+25+26,,,4+5+10+22+23+25+26
fig2002,anger,,23,variant,4+5+7+22+23+25,,,4+5+7+22+23+25
fig2002,anger,,24,variant,4+5+7+22+23+26,,,4+5+7+22+23+26
fig2002,anger,,25,variant,4+5+7+22+23+25+26,,,4+5+7+22+23+25+26
fig2002,anger,,26,variant,5+7+10+23+25,,,5+7+10+23+25
fig2002,anger,,27,variant,5+7+10+23+26,,,5+7+10+23+26
fig2002,anger,,28,variant,5+7+10+23+25+26,,,5+7+10+23+25+26
fig2002,anger,,29,variant,4+7+10+23+25,,,4+7+10+23+25
fig2002,anger,,30,variant,4+7+10+23+26,,,4+7+10+23+26
fig2002,anger,,31,variant,4+7+10+23+25+26,,,4+7+10+23+25+26
fig2002,anger,,32,variant,4+5+10+23+25,,,4+5+10+23+25
