phase,occ_key,emotion,status,n_events,seconds,n_infants
I,12,contentment,partial,1236,861.16,44
I,12,happiness,complete,1236,861.16,44
I,4,sadness,partial,506,300.175,42
I,12+25,happiness,complete,524,285.918,42
I,1+2+5,surprise,complete,117,75.813,30
I,1+2+5,fear,complete,117,75.813,30
I,1+2+25+26,surprise,complete,168,69.523,36
I,19+25+26,desire,partial,63,22.498,26
I,10+25,disgust,complete,28,13.289,13
I,10,disgust,complete,25,11.246,13
I,9,disgust,complete,20,7.646,14
I,4+7,anger,complete,13,7.068,9
I,4+7,confusion,complete,13,7.068,9
I,4+7,confusion,partial,13,7.068,9
I,10+25+26,disgust,complete,18,6.3870000000000005,12
I,1+15,sadness,complete,13,4.855,9
I,1+17+24,sympathy,partial,9,3.227,5
I,12+18+25+26,relief,partial,4,1.392,3
I,1+15+17,sadness,complete,5,1.085,5
I,12+14,contempt,complete,2,0.781,2
I,10+17,disgust,complete,1,0.68,1
I,25+27,sympathy,partial,2,0.40800000000000003,2
I,10+16+25,disgust,complete,1,0.34,1
I,11+15+25,sadness,complete,2,0.30600000000000005,1
I,11+15+25,sadness,partial,2,0.30600000000000005,1
I,1+2+4+5,fear,complete,1,0.237,1
I,10+16+25+26,disgust,complete,1,0.067,1
II,12,contentment,partial,233,117.33,23
II,12,happiness,complete,233,117.33,23
II,4,sadness,partial,113,84.388,17
II,12+25,happiness,complete,160,73.838,24
II,1+2+25+26,surprise,complete,56,16.439,9
II,1+2+5,surprise,complete,22,10.836,6
II,1+2+5,fear,complete,22,10.836,6
II,9,disgust,complete,4,5.03,2
II,4+7,anger,complete,6,3.773,4
II,4+7,confusion,complete,6,3.773,4
II,4+7,confusion,partial,6,3.773,4
II,10,disgust,complete,5,3.3649999999999998,4
II,10+25,disgust,complete,10,3.125,6
II,1+15,sadness,complete,6,3.093,5
II,19+25+26,desire,partial,8,2.7520000000000002,5
II,12+18+25+26,relief,partial,5,2.341,3
II,10+25+26,disgust,complete,4,0.917,4
II,10+17,disgust,complete,1,0.34,1
